kind,n,value,tau,local_slope
A1_bound,,51.88693876374559,,
A_prime_attained_stratified,,52.36067977499788,,
common_temperature_R,1000.0,65.38865614114563,0.35864105007974434,
common_temperature_R,10000.0,283.81092138866313,0.18962163528226442,0.6375266917289205
common_temperature_R,100000.0,1820.3884028624996,0.13162030331650681,0.8071349564642111
common_temperature_R,1000000.0,12150.446054507467,0.10097924532982624,0.824428161507297
common_temperature_R,10000000.0,80109.38729305357,0.08192688622264209,0.8190911885072495
common_temperature_R,100000000.0,520706.32596180454,0.06892441150348344,0.8129094437680815
common_temperature_R,1000000000.0,3349661.099858191,0.05948400732700049,0.8084080158826912
predicted_slope,,0.8,,
