a,b,rho,worst_ratio,K_rho,uniform_over_optimal
0.5,2,4.0,1.1249999989820534,1.125,1.124997195346014
0.25,4,16.0,1.5624999954192385,1.5625,1.124997195346014
0.1,10,100.0,3.0249999835092605,3.025,1.124997195346014
0.01,100,10000.0,25.502499800462036,25.5025,1.124997195346014
