tau,inv_tau,theta,v_ht,v_aipw,bias_b,v_b,loss_1,offgreedy
1.0,1.0,1.4999999999999991,7.564733715832001,4.4337357206208905,0.4801556052562037,5.693160370072064,0.17055734950244275,0.37988549304172187
0.9379226513947847,1.066186,1.4999999999999991,7.620716733237853,4.484379839452955,0.4775868256508857,5.730137833585425,0.16582461894466943,0.3725986174568353
0.8796993539487945,1.136752,1.4999999999999991,7.6902311303683435,4.542770056408119,0.47470644854624733,5.772607916292238,0.1608781420524622,0.3649560612362113
0.8250906774654534,1.211988,1.4999999999999991,7.775769985946581,4.610217229090923,0.47148228078635723,5.821280012481342,0.15572088385009605,0.3569564077896817
0.773871018917277,1.292205,1.4999999999999991,7.880312839903287,4.6882924599766564,0.467880199431157,5.876941374472208,0.15035828160948955,0.3486011815079541
0.7258316215804258,1.37773,1.4999999999999991,8.007429984272989,4.778882206585207,0.4638647342345019,5.940457905162183,0.1447989981881547,0.33989597316378756
0.6807741218694602,1.468916,1.4999999999999991,8.16143799133664,4.884275160500388,0.4593991123789325,6.012784919888965,0.13905465552002075,0.3308500003026908
0.6385137443276035,1.566137,1.4999999999999991,8.347577836340783,5.00725730340352,0.45444613472435114,6.094966852821659,0.1331405324481305,0.3214772032297522
0.5988766272226557,1.6697930000000003,1.4999999999999991,8.572264088001717,5.151247892464286,0.44896876668045205,6.188143395628302,0.12707554545267571,0.31179626269291694
0.5617002441710962,1.7803089999999997,1.4999999999999991,8.843400551971946,5.320469685065869,0.4429312141984241,6.293549818806139,0.12088251804569615,0.30183112603748286
0.5268315298133963,1.89814,1.4999999999999991,9.170813679610994,5.52018370315366,0.43629988352573523,6.412521406070846,0.1145879828759079,0.2916108530696559
0.49412729707427233,2.02377,1.4999999999999991,9.566816987494956,5.756992771546219,0.42904485596461495,6.546490997242812,0.10822219091031485,0.2811698661793327
0.46345345119881504,2.157714,1.4999999999999991,10.046981154617043,6.039255675910751,0.42114138573054816,6.6969874643308955,0.10181877304251676,0.27054772502723407
0.4346835764373682,2.300524,1.4999999999999991,10.631202227352688,6.377661049168757,0.4125712917240951,6.865637407154068,0.09541405207289992,0.25978840169675965
0.40769981877743056,2.452785,1.4999999999999991,11.345132481492215,6.78599241445556,0.4033250212286952,7.054153931241772,0.08904665142775574,0.24894012768682744
0.38239104531945717,2.615124,1.4999999999999991,12.222234797110048,7.282227344228745,0.3934029374936445,7.264339034213243,0.08275634163425227,0.23805403087631402
0.3586532998972817,2.788208,1.4999999999999991,13.306623069043116,7.890051828012142,0.38281715855383003,7.498071876418849,0.07658324663895197,0.22718341581821175
0.33638920500130015,2.972747,1.4999999999999991,14.657137745579387,8.641030620091412,0.37159286296588023,7.7573018827479086,0.0705667173402906,0.21638249605967252
0.3155071777882947,3.1695,1.4999999999999991,16.353259698226953,9.577751691034482,0.3597690391768458,8.044046109158899,0.064744089475461,0.20570488225530378
0.29592137487438136,3.3792760000000004,1.4999999999999991,18.503727153462187,10.758399311031438,0.34739903407326334,8.360380199021998,0.059149652278611305,0.1952023640987428
0.2775514962107282,3.6029349999999996,1.4999999999999991,21.259311507220495,12.263523762501642,0.3345504566148265,8.708429618614213,0.05381367848151125,0.18492369091357072
0.26032189322741356,3.841398,1.4999999999999991,24.832183253595886,14.206289341730612,0.3213038329154019,9.090376472303767,0.048761404148077024,0.17491306679663474
0.24416190571297353,4.095643,1.4999999999999991,29.52533625772768,16.748017688561763,0.30775129932245693,9.508446889339552,0.04401257425272118,0.16520950456056652
0.22900504635520147,4.366716,1.4999999999999991,35.77861532975647,20.122469682137165,0.2939936979865998,9.964924648388946,0.03958090443364603,0.1558457669551821
0.2147890878551806,4.65573,1.4999999999999991,44.241329831732735,24.67409155428323,0.2801376859360327,10.462148589252408,0.035474075919149715,0.14684810261570602
0.2014556378568988,4.963872,1.4999999999999991,55.88952626852296,30.91969404928302,0.2662919339661678,11.002526198116392,0.03169384676925724,0.1382359662210591
0.188949871410165,5.292409,1.4999999999999991,72.21885487395814,39.64973855175001,0.2525631761511522,11.588549089685674,0.02823645371438886,0.13002210479497955
0.1772204391876924,5.64269,1.4999999999999991,95.56814698229586,52.09801234702572,0.2390524893675119,12.222804354130895,0.025093264661378033,0.12221300821233033
0.1662191216815391,6.016155,1.4999999999999991,129.67516446587578,70.23262062643323,0.22585163814354803,12.908000970786558,0.022251508051888247,0.11480939578638254
0.15590073363767235,6.414338,1.4999999999999991,180.65240283729278,97.26615874280706,0.21304031180009875,13.646987630886429,0.019695158570825325,0.10780701244926431
0.14622288022518323,6.838875,1.4999999999999991,258.7446038506639,138.57323178577616,0.20068402824497023,14.44278102894593,0.01740580961298259,0.10119741127850254
0.13714578500944455,7.291511,1.4999999999999991,381.5775423589804,203.38401944755606,0.18883307777430258,15.298593057168056,0.015363537114788727,0.09496880889355075
0.12863218706618795,7.7741039999999995,1.4999999999999991,580.3315917397531,307.99782164146785,0.17752253615787472,16.217851976734142,0.013547703442699267,0.08910696137897064
0.12064708339295309,8.288638,1.4999999999999991,911.8313764101752,482.0670959751721,0.16677295920460922,17.204239476897282,0.01193761873113295,0.08359586406924395
0.11315768092838183,8.837226,1.4999999999999991,1482.9643435824225,781.2718013223925,0.15659205837829648,18.261706845279594,0.010513119717809672,0.07841849535829111
0.10613318186005619,9.422124,1.4999999999999991,2501.6981297560383,1313.7625663378994,0.14697662506384335,19.394509689874777,0.009254977438884938,0.07355732845987739
0.0995447519857436,10.045733,1.4999999999999991,4387.48494876947,2297.305748867552,0.13791491921475618,20.60721687187538,0.008145208531053539,0.06899484697470991
0.09336531157498318,10.710616,1.4999999999999991,8019.468700173266,4187.579776729538,0.12938879928226266,21.904745858000915,0.0071672349696715034,0.06471381981593506
0.08756946995513379,11.419505,1.4999999999999991,15317.32143017988,7978.002217480743,0.12137584649812183,23.292376600714817,0.006305970491464551,0.0606975697621843
0.08213341883969791,12.175312,1.4999999999999991,30660.07359493475,15931.16423300417,0.11385111014499794,24.77577157182252,0.005547820841303968,0.05693012420376894
0.07703481889075561,12.981143,1.4999999999999991,64514.012659817934,33446.67050718239,0.10678846540093478,26.361000802665473,0.004880627088904316,0.0533962900805662
0.0722527273236983,13.840307999999999,1.4999999999999991,143171.51448926222,74068.89281550911,0.10016165190198234,28.054558789893,0.0042935778819895585,0.050081703749109745
0.06776749541569835,14.756337000000002,1.4999999999999991,336287.7910658973,173629.04570622006,0.09394493658646841,29.863393365250783,0.0037770968609722125,0.0469728219309655
0.0635606888580337,15.732995,1.4999999999999991,839173.8530458516,432457.66578331904,0.08811353781782949,31.79493309075674,0.0033227249413997997,0.04405690293444362
0.05961503116703637,16.774293,1.4999999999999991,2233684.4169994663,1149051.3848181316,0.08264388017041413,33.85710729535011,0.002923005032553631,0.04132198767943101
0.05591430796818029,17.88451,1.4999999999999991,6369134.302422243,3270899.762822567,0.07751365639179508,36.05838841764751,0.0025713680134560363,0.03875684396523186
0.05244331572444121,19.068207,1.4999999999999991,19543856.247507323,10020913.475917501,0.07270186261258904,38.40781899921689,0.00226203191516961,0.03635093615910563
0.04918779151144639,20.330248,1.4999999999999991,64852334.85919638,33202583.145748977,0.0681887551017728,40.91505288628024,0.0019899086037167453,0.034094378931207536
0.046134358291144616,21.675819,1.4999999999999991,233927131.05305228,119595014.0414445,0.0639557999952527,43.590392712074596,0.001750521555803927,0.031977900358596226
0.04327047604360383,23.110446,1.4999999999999991,922310193.9040374,470902338.5422767,0.05998561676163572,46.44482552796666,0.0015399330662284876,0.02999280846707442
0.040584372759996275,24.640026000000002,1.4999999999999991,3998320906.128417,2038854173.115391,0.05626188706771407,49.49008439378527,0.0013546783045889454,0.028130943552513228
0.03806501664716405,26.270841000000004,1.4999999999999991,19178407276.817596,9768037211.876528,0.052769317926355086,52.73867621224433,0.0011917099005366496,0.026384658966732383
0.03570205393559271,28.009593,1.4999999999999991,102469346775.39726,52132059470.93012,0.04949355605010508,56.203951398915336,0.0010483466284922887,0.024746778025557806
0.03348577621335208,29.863425999999997,1.4999999999999991,614223102223.5316,312163048324.3091,0.046421142742236965,59.900147710389604,0.0009222299887542742,0.02321057137106492
