delta,n,common_tau,R_uniform,R_optimal,R_ctx_temperature,R_common_temperature,R_optimal_closed,R_uniform_closed,ratio_common_over_optimal,nd2_over_log2
0.1,10000,0.15473373107735286,50.00025000000001,44.44480188379093,44.44480188379093,194.13312482269,44.44477746864202,50.000249999999994,4.367960179691803,4.715292425290348
0.1,100000,0.10968543885538524,50.00024999999999,44.44477746864201,44.44477746864201,988.1653188550316,44.44477746864202,50.000249999999994,22.233553077236827,20.956855223512658
0.1,1000000,0.08571196443836249,50.00025,44.444777468642016,44.444777468642016,6041.4899618314475,44.44477746864202,50.000249999999994,135.9325055929016,117.8823106322587
0.1,10000000,0.07060375457805128,50.00024999999999,44.44477746864202,44.44477746864202,40998.54452200763,44.44477746864202,50.000249999999994,922.460339708847,754.4467880464558
0.1,100000000,0.06014508072880836,50.000249999999994,44.44477746864202,44.444777468642,297521.3689896614,44.44477746864202,50.000249999999994,6694.180642474301,5239.213805878167
0.03,10000,0.30167131010219667,555.5583333333333,494.23333095287353,494.23333095287353,608.0377634968817,493.83086076268927,555.5583333333334,1.2302645843909294,1.8642047618030018
0.03,100000,0.1578093619121636,555.5583333333333,493.8312380984344,493.8312380984344,2015.941349552112,493.83086076268927,555.5583333333334,4.082247525115611,4.444820428139345
0.03,1000000,0.11113043792452587,555.5583333333334,493.830860762689,493.830860762689,10142.185310711224,493.83086076268927,555.5583333333334,20.537771363756594,19.449965976862092
0.03,10000000,0.086567491984253,555.5583333333335,493.83086076268927,493.8308607626892,61626.06094621566,493.83086076268927,555.5583333333334,124.79183834529552,108.56367364452397
0.03,100000000,0.07117360331604405,555.5583333333335,493.83086076268904,493.83086076268904,416629.5996543778,493.83086076268927,555.5583333333334,843.6686176536658,691.6025871228651
