zeta,n,n_tau,tau,reps,failures,rmse,sd_pred,coverage_beta0,coverage_mcse,cum_loss,cum_loss_pred
0.6,10000,39.810717055349734,0.003981071705534973,1000,0,0.21487619753576248,0.22413774476912984,0.949,0.006956938982052382,0.12895067638792343,0.13035224022975644
0.6,100000,100.00000000000003,0.0010000000000000002,500,0,0.14149885020052097,0.14142135623730948,0.944,0.010282412168358165,0.08205664516195701,0.08224670334241134
0.6,1000000,251.18864315095806,0.00025118864315095806,200,0,0.0823521498187953,0.08923084338428021,0.97,0.012062338081814825,0.05125006576114205,0.0518941615331781
0.75,10000,10.0,0.001,1000,0,0.46445768855534053,0.4472135954999579,0.887,0.010011543337567888,0.008141319186617537,0.008224670334241133
0.75,100000,17.78279410038923,0.00017782794100389227,500,0,0.33948940987739046,0.3353628856001657,0.924,0.01185107590052481,0.0025775934572299544,0.002600869126022033
0.75,1000000,31.622776601683796,3.1622776601683795e-05,200,0,0.24685001484476496,0.2514866859365871,0.93,0.01804161855266871,0.0008208801768093843,0.0008224670334241132
