n,inv_tau,tau,reps,n_tau,ht_rmse_mc,ht_sd_mc,ht_coverage,ht_coverage_mcse,ht_failures,aipw_rmse_mc,aipw_sd_mc,aipw_coverage,aipw_coverage_mcse,aipw_failures,bnd_rmse_mc,bnd_sd_mc,bnd_coverage,bnd_coverage_mcse,bnd_failures,ht_sd_exact,aipw_sd_exact,bnd_bias_exact,bnd_sd_exact,bnd_rmse_exact,loss_mc,loss_exact,offgreedy_mc,offgreedy_exact
100000,1,1.0,1000,100000.0,0.008920354122757683,0.008923410980073513,0.949,0.006956938982052382,0,0.006715095743125904,0.006717844884357911,0.942,0.007391616873188169,0,0.4803307741728327,0.007730175362671245,0.0,0.0,0,0.008697547766946728,0.006658630280035745,0.4801556052562037,0.007545303420056787,0.48021488613187746,17055.35994764939,17055.734950244274,37987.943,37988.549304172186
100000,2,0.5,1000,50000.0,0.009741570809985051,0.009745209155341512,0.95,0.006892024376045114,0,0.007542439100553438,0.0075453931966509465,0.954,0.006624499981130654,0,0.4308443736934458,0.008011937594387265,0.0,0.0,0,0.009740634958341836,0.007556582389665433,0.43043046340259394,0.008075021361609706,0.43050620180778143,10938.09212098724,10939.963165594225,28307.357,28310.95847584834
100000,3,0.3333333333333333,1000,33333.33333333333,0.012622052086139517,0.012620229684149555,0.942,0.007391616873188169,0,0.009400043110526382,0.009401670260576324,0.945,0.007209368904418752,0,0.36965113209802175,0.008563871580868356,0.0,0.0,0,0.012196472248025825,0.00936051100008574,0.36994470790166556,0.008829725779014547,0.3700500654800391,6970.713401206417,6972.491759601318,21481.071,21485.32763287282
100000,5,0.2,1000,20000.0,0.023487140460887634,0.023485652052023943,0.955,0.00655553201502365,0,0.017910936794693234,0.017919723293507574,0.95,0.006892024376045114,0,0.2649021289327054,0.010537874873310978,0.0,0.0,0,0.023972442693704063,0.01782263099669661,0.264730636348127,0.010519743467890995,0.2649395682489018,3130.00349483857,3128.654640404553,13728.359,13728.636641415282
100000,7,0.14285714285714285,1000,14285.714285714284,0.0544620792165922,0.054466475615061974,0.951,0.006826346021115546,0,0.03971807289605178,0.039705249954131994,0.949,0.006956938982052382,0,0.19637751505691856,0.01254881428435325,0.0,0.0,0,0.05449240545165666,0.03984282656136426,0.1963172403255602,0.012143571277591863,0.19669246343573438,1663.2788188224729,1663.6226409803467,9893.487,9889.081630086353
100000,10,0.1,1000,10000.0,0.2050179763259015,0.20488957180899475,0.96,0.00619677335393187,0,0.1471005274733905,0.14715517375032322,0.96,0.00619677335393187,0,0.13964583328914976,0.014489506498807201,0.0,0.0,0,0.20517867667373008,0.14848332930910846,0.1385421396305233,0.014324151095311204,0.13928067259316607,822.4776675566159,821.9676450179809,6931.362,6931.017816604677
100000,14,0.07142857142857142,1000,7142.857142857142,1.2821800203255596,1.2824974968454026,0.936,0.007739767438366605,0,1.0515617708505356,1.051908843614251,0.913,0.008912407082264588,0,0.10037026047502863,0.01646834945210311,0.0,0.0,0,1.2888207959538263,0.9268354187495657,0.09901940862335668,0.016843299821478495,0.10044172456203398,419.67251831198683,419.6196737241636,4952.137,4951.04535022187
100000,20,0.05,1000,5000.0,0.6547417795774361,0.653650975438681,0.756,0.013581752464244074,0,0.5350634217914698,0.5352061475637593,0.729,0.014055568291606,0,0.07222010990580034,0.0205258035184436,0.065,0.007795832219846705,0,21.76333038787343,15.575063997853013,0.06931471401341383,0.020064585779078516,0.07216035740797953,205.6808924072497,205.61674753549244,3469.197,3465.735892488752
100000,30,0.03333333333333333,1000,3333.3333333333335,1.1198257720675542,1.1158106734266333,0.516,0.015803290796539814,0,1.4814132111942306,1.4803932236659596,0.46,0.015760710643876435,0,0.05186160071651992,0.024635275323879078,0.53,0.015782902141241326,0,2647.5527822368163,1887.368059979007,0.0462098120373029,0.024530084954488853,0.05231703160919304,91.41429996285552,91.38522593621114,2309.759,2310.4906018583606
100000,50,0.02,1000,2000.0,1.1536577855702008,1.1420074079493356,0.258,0.013836039895866157,0,0.909236007146906,0.9096567901471524,0.205,0.0127661662216971,0,0.04310839050115137,0.0326475018883529,0.849,0.01132249972400088,0,45316202.02210477,32201569.92586553,0.027725887222660006,0.031639137799956495,0.042068513914901934,32.87709011188953,32.898681337485385,1385.973,1386.2943611068686
100000,80,0.0125,1000,1250.0,0.7270915146055408,0.7076556521862236,0.152,0.011353237423748346,0,1.0272009086835754,1.027422630069531,0.077,0.00843036179532053,0,0.042584340991558126,0.040031639277027825,0.922,0.008480330182251158,0,117328879173491.47,83221259183156.52,0.01732867951441608,0.040008085438482235,0.04359965635376313,12.860347537480378,12.85104739777261,867.278,866.433975679097
100000,120,0.008333333333333333,1000,833.3333333333334,0.36419137517213224,0.31331132995020233,0.085,0.008819013550278738,0,1.5816269404736962,1.5819748427445761,0.031,0.0054807846153630225,0,0.050054562210208896,0.049102398924999034,0.943,0.007331507348424336,0,4.652583646502508e+22,3.296691369385877e+22,0.011552453009956665,0.04899419625801195,0.05033776353311546,5.692364462367612,5.711576621521622,576.913,577.6226504353715
