n,delta,design,reps,common_tau,max_abs_p_opt_minus_p_ctx,rmse,bias,coverage,coverage_mcse,explored,cum_loss
10000,0.1,uniform,200,0.15473418787564264,6.938893903907228e-17,0.1015088194412979,0.005832904249392534,0.925,0.015411035007422441,100.87,50.21759529703915
10000,0.1,optimal,200,0.15473418787564264,6.938893903907228e-17,0.09796691428797433,0.01370262123415733,0.945,0.015411035007422441,134.105,44.98985489097061
10000,0.1,ctx_temperature,200,0.15473418787564264,6.938893903907228e-17,0.09796691428797433,0.013702621234157553,0.945,0.015411035007422441,134.105,44.98985489097061
10000,0.1,common_temperature,200,0.15473418787564264,6.938893903907228e-17,0.09266221890475823,0.01202011495395805,0.96,0.015411035007422441,1072.5,195.00487624208822
100000,0.05623413251903491,uniform,200,0.1280585077453318,1.1102230246251565e-16,0.05533549280760365,-0.0007209319711347639,0.945,0.015411035007422441,317.745,159.29972626803416
100000,0.05623413251903491,optimal,200,0.1280585077453318,1.1102230246251565e-16,0.05748558137207533,-0.0019189876193939082,0.945,0.015411035007422441,421.085,141.0572199568798
100000,0.05623413251903491,ctx_temperature,200,0.1280585077453318,1.1102230246251565e-16,0.05748558137207534,-0.0019189876193939082,0.945,0.015411035007422441,421.085,141.0572199568798
100000,0.05623413251903491,common_temperature,200,0.1280585077453318,1.1102230246251565e-16,0.05731818429270117,-0.005491006636960449,0.925,0.015411035007422441,8874.405,1343.2863066938212
1000000,0.03162277660168379,uniform,200,0.10968574680939226,2.7755575615628914e-17,0.03045020306192184,-0.000415215600545471,0.97,0.015411035007422441,999.64,499.76058041203885
1000000,0.03162277660168379,optimal,200,0.10968574680939226,2.7755575615628914e-17,0.030578125059705464,0.0001062343413551492,0.955,0.015411035007422441,1333.415,444.18468184346
1000000,0.03162277660168379,ctx_temperature,200,0.10968574680939226,2.7755575615628914e-17,0.03057812505970545,0.0001062343413551492,0.955,0.015411035007422441,1333.415,444.18468184346
1000000,0.03162277660168379,common_temperature,200,0.10968574680939226,2.7755575615628914e-17,0.031164744425614642,-0.00016277374497297714,0.955,0.015411035007422441,76036.785,9883.200181881368
