check,n,delta,weight_hot,design_variance,cum_loss,bound,tau,bias,bias_over_tau_1p5,bias_over_tau_2,uniform_over_optimal,worst_misspecified_over_optimal,K_rho
B_mixture_temperatures,10000.0,0.1,0.027182822580295377,0.009996882288684481,46.36240000027146,46.362319989367,,,,,,,
B_mixture_temperatures,100000.0,0.1,0.0027182822580295372,0.009999516817153581,46.362328190641506,46.362319989367,,,,,,,
B_mixture_temperatures,1000000.0,0.1,0.00027182822580295375,0.009999936339407356,46.36232080119663,46.362319989367,,,,,,,
D_smoothness_remark,,,,,,,0.04,0.016274253454651395,2.034281681831424,10.171408409157122,,,
D_smoothness_remark,,,,,,,0.02,0.00575381749852744,2.0342816854592853,14.3845437463186,,,
D_smoothness_remark,,,,,,,0.01,0.0020342816854592894,2.0342816854592893,20.342816854592893,,,
D_smoothness_remark,,,,,,,0.005,0.0007192271873159311,2.0342816854592884,28.769087492637244,,,
R_iff_with_atoms,,,,,,,,,,,1.6749431866004543,1.3471929972224557,2.0416666666666665
