"date","geography","geography code","Sex: All persons; Age: Total; measures: Value","Sex: All persons; Age: Aged 4 years and under; measures: Value","Sex: All persons; Age: Aged under 1 year; measures: Value","Sex: All persons; Age: Aged 1 year; measures: Value","Sex: All persons; Age: Aged 2 years; measures: Value","Sex: All persons; Age: Aged 3 years; measures: Value","Sex: All persons; Age: Aged 4 years; measures: Value","Sex: All persons; Age: Aged 5 to 9 years; measures: Value","Sex: All persons; Age: Aged 5 years; measures: Value","Sex: All persons; Age: Aged 6 years; measures: Value","Sex: All persons; Age: Aged 7 years; measures: Value","Sex: All persons; Age: Aged 8 years; measures: Value","Sex: All persons; Age: Aged 9 years; measures: Value","Sex: All persons; Age: Aged 10 to 15 years; measures: Value","Sex: All persons; Age: Aged 10 years; measures: Value","Sex: All persons; Age: Aged 11 years; measures: Value","Sex: All persons; Age: Aged 12 years; measures: Value","Sex: All persons; Age: Aged 13 years; measures: Value","Sex: All persons; Age: Aged 14 years; measures: Value","Sex: All persons; Age: Aged 15 years; measures: Value","Sex: All persons; Age: Aged 16 to 19 years; measures: Value","Sex: All persons; Age: Aged 16 years; measures: Value","Sex: All persons; Age: Aged 17 years; measures: Value","Sex: All persons; Age: Aged 18 years; measures: Value","Sex: All persons; Age: Aged 19 years; measures: Value","Sex: All persons; Age: Aged 20 to 24 years; measures: Value","Sex: All persons; Age: Aged 20 years; measures: Value","Sex: All persons; Age: Aged 21 years; measures: Value","Sex: All persons; Age: Aged 22 years; measures: Value","Sex: All persons; Age: Aged 23 years; measures: Value","Sex: All persons; Age: Aged 24 years; measures: Value","Sex: All persons; Age: Aged 25 to 34 years; measures: Value","Sex: All persons; Age: Aged 25 years; measures: Value","Sex: All persons; Age: Aged 26 years; measures: Value","Sex: All persons; Age: Aged 27 years; measures: Value","Sex: All persons; Age: Aged 28 years; measures: Value","Sex: All persons; Age: Aged 29 years; measures: Value","Sex: All persons; Age: Aged 30 years; measures: Value","Sex: All persons; Age: Aged 31 years; measures: Value","Sex: All persons; Age: Aged 32 years; measures: Value","Sex: All persons; Age: Aged 33 years; measures: Value","Sex: All persons; Age: Aged 34 years; measures: Value","Sex: All persons; Age: Aged 35 to 49 years; measures: Value","Sex: All persons; Age: Aged 35 years; measures: Value","Sex: All persons; Age: Aged 36 years; measures: Value","Sex: All persons; Age: Aged 37 years; measures: Value","Sex: All persons; Age: Aged 38 years; measures: Value","Sex: All persons; Age: Aged 39 years; measures: Value","Sex: All persons; Age: Aged 40 years; measures: Value","Sex: All persons; Age: Aged 41 years; measures: Value","Sex: All persons; Age: Aged 42 years; measures: Value","Sex: All persons; Age: Aged 43 years; measures: Value","Sex: All persons; Age: Aged 44 years; measures: Value","Sex: All persons; Age: Aged 45 years; measures: Value","Sex: All persons; Age: Aged 46 years; measures: Value","Sex: All persons; Age: Aged 47 years; measures: Value","Sex: All persons; Age: Aged 48 years; measures: Value","Sex: All persons; Age: Aged 49 years; measures: Value","Sex: All persons; Age: Aged 50 to 64 years; measures: Value","Sex: All persons; Age: Aged 50 years; measures: Value","Sex: All persons; Age: Aged 51 years; measures: Value","Sex: All persons; Age: Aged 52 years; measures: Value","Sex: All persons; Age: Aged 53 years; measures: Value","Sex: All persons; Age: Aged 54 years; measures: Value","Sex: All persons; Age: Aged 55 years; measures: Value","Sex: All persons; Age: Aged 56 years; measures: Value","Sex: All persons; Age: Aged 57 years; measures: Value","Sex: All persons; Age: Aged 58 years; measures: Value","Sex: All persons; Age: Aged 59 years; measures: Value","Sex: All persons; Age: Aged 60 years; measures: Value","Sex: All persons; Age: Aged 61 years; measures: Value","Sex: All persons; Age: Aged 62 years; measures: Value","Sex: All persons; Age: Aged 63 years; measures: Value","Sex: All persons; Age: Aged 64 years; measures: Value","Sex: All persons; Age: Aged 65 to 74 years; measures: Value","Sex: All persons; Age: Aged 65 years; measures: Value","Sex: All persons; Age: Aged 66 years; measures: Value","Sex: All persons; Age: Aged 67 years; measures: Value","Sex: All persons; Age: Aged 68 years; measures: Value","Sex: All persons; Age: Aged 69 years; measures: Value","Sex: All persons; Age: Aged 70 years; measures: Value","Sex: All persons; Age: Aged 71 years; measures: Value","Sex: All persons; Age: Aged 72 years; measures: Value","Sex: All persons; Age: Aged 73 years; measures: Value","Sex: All persons; Age: Aged 74 years; measures: Value","Sex: All persons; Age: Aged 75 to 84 years; measures: Value","Sex: All persons; Age: Aged 75 years; measures: Value","Sex: All persons; Age: Aged 76 years; measures: Value","Sex: All persons; Age: Aged 77 years; measures: Value","Sex: All persons; Age: Aged 78 years; measures: Value","Sex: All persons; Age: Aged 79 years; measures: Value","Sex: All persons; Age: Aged 80 years; measures: Value","Sex: All persons; Age: Aged 81 years; measures: Value","Sex: All persons; Age: Aged 82 years; measures: Value","Sex: All persons; Age: Aged 83 years; measures: Value","Sex: All persons; Age: Aged 84 years; measures: Value","Sex: All persons; Age: Aged 85 years and over; measures: Value","Sex: All persons; Age: Aged 85 years; measures: Value","Sex: All persons; Age: Aged 86 years; measures: Value","Sex: All persons; Age: Aged 87 years; measures: Value","Sex: All persons; Age: Aged 88 years; measures: Value","Sex: All persons; Age: Aged 89 years; measures: Value","Sex: All persons; Age: Aged 90 years and over; measures: Value","Sex: Female; Age: Total; measures: Value","Sex: Female; Age: Aged 4 years and under; measures: Value","Sex: Female; Age: Aged under 1 year; measures: Value","Sex: Female; Age: Aged 1 year; measures: Value","Sex: Female; Age: Aged 2 years; measures: Value","Sex: Female; Age: Aged 3 years; measures: Value","Sex: Female; Age: Aged 4 years; measures: Value","Sex: Female; Age: Aged 5 to 9 years; measures: Value","Sex: Female; Age: Aged 5 years; measures: Value","Sex: Female; Age: Aged 6 years; measures: Value","Sex: Female; Age: Aged 7 years; measures: Value","Sex: Female; Age: Aged 8 years; measures: Value","Sex: Female; Age: Aged 9 years; measures: Value","Sex: Female; Age: Aged 10 to 15 years; measures: Value","Sex: Female; Age: Aged 10 years; measures: Value","Sex: Female; Age: Aged 11 years; measures: Value","Sex: Female; Age: Aged 12 years; measures: Value","Sex: Female; Age: Aged 13 years; measures: Value","Sex: Female; Age: Aged 14 years; measures: Value","Sex: Female; Age: Aged 15 years; measures: Value","Sex: Female; Age: Aged 16 to 19 years; measures: Value","Sex: Female; Age: Aged 16 years; measures: Value","Sex: Female; Age: Aged 17 years; measures: Value","Sex: Female; Age: Aged 18 years; measures: Value","Sex: Female; Age: Aged 19 years; measures: Value","Sex: Female; Age: Aged 20 to 24 years; measures: Value","Sex: Female; Age: Aged 20 years; measures: Value","Sex: Female; Age: Aged 21 years; measures: Value","Sex: Female; Age: Aged 22 years; measures: Value","Sex: Female; Age: Aged 23 years; measures: Value","Sex: Female; Age: Aged 24 years; measures: Value","Sex: Female; Age: Aged 25 to 34 years; measures: Value","Sex: Female; Age: Aged 25 years; measures: Value","Sex: Female; Age: Aged 26 years; measures: Value","Sex: Female; Age: Aged 27 years; measures: Value","Sex: Female; Age: Aged 28 years; measures: Value","Sex: Female; Age: Aged 29 years; measures: Value","Sex: Female; Age: Aged 30 years; measures: Value","Sex: Female; Age: Aged 31 years; measures: Value","Sex: Female; Age: Aged 32 years; measures: Value","Sex: Female; Age: Aged 33 years; measures: Value","Sex: Female; Age: Aged 34 years; measures: Value","Sex: Female; Age: Aged 35 to 49 years; measures: Value","Sex: Female; Age: Aged 35 years; measures: Value","Sex: Female; Age: Aged 36 years; measures: Value","Sex: Female; Age: Aged 37 years; measures: Value","Sex: Female; Age: Aged 38 years; measures: Value","Sex: Female; Age: Aged 39 years; measures: Value","Sex: Female; Age: Aged 40 years; measures: Value","Sex: Female; Age: Aged 41 years; measures: Value","Sex: Female; Age: Aged 42 years; measures: Value","Sex: Female; Age: Aged 43 years; measures: Value","Sex: Female; Age: Aged 44 years; measures: Value","Sex: Female; Age: Aged 45 years; measures: Value","Sex: Female; Age: Aged 46 years; measures: Value","Sex: Female; Age: Aged 47 years; measures: Value","Sex: Female; Age: Aged 48 years; measures: Value","Sex: Female; Age: Aged 49 years; measures: Value","Sex: Female; Age: Aged 50 to 64 years; measures: Value","Sex: Female; Age: Aged 50 years; measures: Value","Sex: Female; Age: Aged 51 years; measures: Value","Sex: Female; Age: Aged 52 years; measures: Value","Sex: Female; Age: Aged 53 years; measures: Value","Sex: Female; Age: Aged 54 years; measures: Value","Sex: Female; Age: Aged 55 years; measures: Value","Sex: Female; Age: Aged 56 years; measures: Value","Sex: Female; Age: Aged 57 years; measures: Value","Sex: Female; Age: Aged 58 years; measures: Value","Sex: Female; Age: Aged 59 years; measures: Value","Sex: Female; Age: Aged 60 years; measures: Value","Sex: Female; Age: Aged 61 years; measures: Value","Sex: Female; Age: Aged 62 years; measures: Value","Sex: Female; Age: Aged 63 years; measures: Value","Sex: Female; Age: Aged 64 years; measures: Value","Sex: Female; Age: Aged 65 to 74 years; measures: Value","Sex: Female; Age: Aged 65 years; measures: Value","Sex: Female; Age: Aged 66 years; measures: Value","Sex: Female; Age: Aged 67 years; measures: Value","Sex: Female; Age: Aged 68 years; measures: Value","Sex: Female; Age: Aged 69 years; measures: Value","Sex: Female; Age: Aged 70 years; measures: Value","Sex: Female; Age: Aged 71 years; measures: Value","Sex: Female; Age: Aged 72 years; measures: Value","Sex: Female; Age: Aged 73 years; measures: Value","Sex: Female; Age: Aged 74 years; measures: Value","Sex: Female; Age: Aged 75 to 84 years; measures: Value","Sex: Female; Age: Aged 75 years; measures: Value","Sex: Female; Age: Aged 76 years; measures: Value","Sex: Female; Age: Aged 77 years; measures: Value","Sex: Female; Age: Aged 78 years; measures: Value","Sex: Female; Age: Aged 79 years; measures: Value","Sex: Female; Age: Aged 80 years; measures: Value","Sex: Female; Age: Aged 81 years; measures: Value","Sex: Female; Age: Aged 82 years; measures: Value","Sex: Female; Age: Aged 83 years; measures: Value","Sex: Female; Age: Aged 84 years; measures: Value","Sex: Female; Age: Aged 85 years and over; measures: Value","Sex: Female; Age: Aged 85 years; measures: Value","Sex: Female; Age: Aged 86 years; measures: Value","Sex: Female; Age: Aged 87 years; measures: Value","Sex: Female; Age: Aged 88 years; measures: Value","Sex: Female; Age: Aged 89 years; measures: Value","Sex: Female; Age: Aged 90 years and over; measures: Value","Sex: Male; Age: Total; measures: Value","Sex: Male; Age: Aged 4 years and under; measures: Value","Sex: Male; Age: Aged under 1 year; measures: Value","Sex: Male; Age: Aged 1 year; measures: Value","Sex: Male; Age: Aged 2 years; measures: Value","Sex: Male; Age: Aged 3 years; measures: Value","Sex: Male; Age: Aged 4 years; measures: Value","Sex: Male; Age: Aged 5 to 9 years; measures: Value","Sex: Male; Age: Aged 5 years; measures: Value","Sex: Male; Age: Aged 6 years; measures: Value","Sex: Male; Age: Aged 7 years; measures: Value","Sex: Male; Age: Aged 8 years; measures: Value","Sex: Male; Age: Aged 9 years; measures: Value","Sex: Male; Age: Aged 10 to 15 years; measures: Value","Sex: Male; Age: Aged 10 years; measures: Value","Sex: Male; Age: Aged 11 years; measures: Value","Sex: Male; Age: Aged 12 years; measures: Value","Sex: Male; Age: Aged 13 years; measures: Value","Sex: Male; Age: Aged 14 years; measures: Value","Sex: Male; Age: Aged 15 years; measures: Value","Sex: Male; Age: Aged 16 to 19 years; measures: Value","Sex: Male; Age: Aged 16 years; measures: Value","Sex: Male; Age: Aged 17 years; measures: Value","Sex: Male; Age: Aged 18 years; measures: Value","Sex: Male; Age: Aged 19 years; measures: Value","Sex: Male; Age: Aged 20 to 24 years; measures: Value","Sex: Male; Age: Aged 20 years; measures: Value","Sex: Male; Age: Aged 21 years; measures: Value","Sex: Male; Age: Aged 22 years; measures: Value","Sex: Male; Age: Aged 23 years; measures: Value","Sex: Male; Age: Aged 24 years; measures: Value","Sex: Male; Age: Aged 25 to 34 years; measures: Value","Sex: Male; Age: Aged 25 years; measures: Value","Sex: Male; Age: Aged 26 years; measures: Value","Sex: Male; Age: Aged 27 years; measures: Value","Sex: Male; Age: Aged 28 years; measures: Value","Sex: Male; Age: Aged 29 years; measures: Value","Sex: Male; Age: Aged 30 years; measures: Value","Sex: Male; Age: Aged 31 years; measures: Value","Sex: Male; Age: Aged 32 years; measures: Value","Sex: Male; Age: Aged 33 years; measures: Value","Sex: Male; Age: Aged 34 years; measures: Value","Sex: Male; Age: Aged 35 to 49 years; measures: Value","Sex: Male; Age: Aged 35 years; measures: Value","Sex: Male; Age: Aged 36 years; measures: Value","Sex: Male; Age: Aged 37 years; measures: Value","Sex: Male; Age: Aged 38 years; measures: Value","Sex: Male; Age: Aged 39 years; measures: Value","Sex: Male; Age: Aged 40 years; measures: Value","Sex: Male; Age: Aged 41 years; measures: Value","Sex: Male; Age: Aged 42 years; measures: Value","Sex: Male; Age: Aged 43 years; measures: Value","Sex: Male; Age: Aged 44 years; measures: Value","Sex: Male; Age: Aged 45 years; measures: Value","Sex: Male; Age: Aged 46 years; measures: Value","Sex: Male; Age: Aged 47 years; measures: Value","Sex: Male; Age: Aged 48 years; measures: Value","Sex: Male; Age: Aged 49 years; measures: Value","Sex: Male; Age: Aged 50 to 64 years; measures: Value","Sex: Male; Age: Aged 50 years; measures: Value","Sex: Male; Age: Aged 51 years; measures: Value","Sex: Male; Age: Aged 52 years; measures: Value","Sex: Male; Age: Aged 53 years; measures: Value","Sex: Male; Age: Aged 54 years; measures: Value","Sex: Male; Age: Aged 55 years; measures: Value","Sex: Male; Age: Aged 56 years; measures: Value","Sex: Male; Age: Aged 57 years; measures: Value","Sex: Male; Age: Aged 58 years; measures: Value","Sex: Male; Age: Aged 59 years; measures: Value","Sex: Male; Age: Aged 60 years; measures: Value","Sex: Male; Age: Aged 61 years; measures: Value","Sex: Male; Age: Aged 62 years; measures: Value","Sex: Male; Age: Aged 63 years; measures: Value","Sex: Male; Age: Aged 64 years; measures: Value","Sex: Male; Age: Aged 65 to 74 years; measures: Value","Sex: Male; Age: Aged 65 years; measures: Value","Sex: Male; Age: Aged 66 years; measures: Value","Sex: Male; Age: Aged 67 years; measures: Value","Sex: Male; Age: Aged 68 years; measures: Value","Sex: Male; Age: Aged 69 years; measures: Value","Sex: Male; Age: Aged 70 years; measures: Value","Sex: Male; Age: Aged 71 years; measures: Value","Sex: Male; Age: Aged 72 years; measures: Value","Sex: Male; Age: Aged 73 years; measures: Value","Sex: Male; Age: Aged 74 years; measures: Value","Sex: Male; Age: Aged 75 to 84 years; measures: Value","Sex: Male; Age: Aged 75 years; measures: Value","Sex: Male; Age: Aged 76 years; measures: Value","Sex: Male; Age: Aged 77 years; measures: Value","Sex: Male; Age: Aged 78 years; measures: Value","Sex: Male; Age: Aged 79 years; measures: Value","Sex: Male; Age: Aged 80 years; measures: Value","Sex: Male; Age: Aged 81 years; measures: Value","Sex: Male; Age: Aged 82 years; measures: Value","Sex: Male; Age: Aged 83 years; measures: Value","Sex: Male; Age: Aged 84 years; measures: Value","Sex: Male; Age: Aged 85 years and over; measures: Value","Sex: Male; Age: Aged 85 years; measures: Value","Sex: Male; Age: Aged 86 years; measures: Value","Sex: Male; Age: Aged 87 years; measures: Value","Sex: Male; Age: Aged 88 years; measures: Value","Sex: Male; Age: Aged 89 years; measures: Value","Sex: Male; Age: Aged 90 years and over; measures: Value"
"2021","England and Wales","K04000001",59597539,3232036,607324,635763,650192,658769,679988,3524625,693135,684645,693242,722331,731272,4274508,731568,724494,722043,719400,698524,678479,2716185,684712,676331,667639,687503,3602126,686217,706129,725381,735702,748697,8050540,747948,764081,780129,794007,815575,837963,827435,829879,838398,815125,11526102,814386,805134,790369,785721,786009,803965,791359,748964,705241,706233,716525,734978,746820,779033,811365,11608074,828072,810998,829876,824381,830104,828774,829602,810299,792879,767485,743406,707008,692368,671651,641171,5923120,611701,596290,596418,576097,564631,564512,574834,583742,631380,623515,3685347,469551,490743,446750,413157,350070,326628,328669,310537,287052,262190,1454876,234034,208118,181094,161449,140651,529530,30420202,1577342,296691,310353,316678,321868,331752,1720435,338003,334244,338613,352045,357530,2083394,355845,353605,352516,350382,340785,330261,1322965,332162,327900,324819,338084,1793333,337666,348438,360865,369048,377316,4137038,377637,388625,398734,407374,419489,430751,426801,429538,434311,423778,5886345,419544,415402,407132,404238,403080,412995,404725,381526,358555,358404,363398,372378,378626,394780,411562,5902642,421748,411751,421888,419416,421059,422143,422022,412768,403497,390331,376349,358616,352337,341391,327326,3075431,312634,306708,307056,297970,292589,293580,300618,305160,331217,327899,2009407,248428,260805,238570,222676,190889,179782,182268,173804,162241,149944,911870,136120,122305,108354,98357,87375,359359,29177337,1654694,310633,325410,333514,336901,348236,1804190,355132,350401,354629,370286,373742,2191114,375723,370889,369527,369018,357739,348218,1393220,352550,348431,342820,349419,1808793,348551,357691,364516,366654,371381,3913502,370311,375456,381395,386633,396086,407212,400634,400341,404087,391347,5639757,394842,389732,383237,381483,382929,390970,386634,367438,346686,347829,353127,362600,368194,384253,399803,5705432,406324,399247,407988,404965,409045,406631,407580,397531,389382,377154,367057,348392,340031,330260,313845,2847689,299067,289582,289362,278127,272042,270932,274216,278582,300163,295616,1675940,221123,229938,208180,190481,159181,146846,146401,136733,124811,112246,543006,97914,85813,72740,63092,53276,170171
"2021","England","E92000001",56490059,3076949,578988,605935,619033,626362,646631,3348700,658689,650560,658862,686130,694459,4057441,694519,687720,685258,682623,663207,644114,2574781,649461,642047,633055,650218,3414451,649299,668328,687528,698294,711002,7667868,711905,727408,742890,756338,776742,797928,788788,790637,799057,776175,10978441,776446,767279,753532,748859,749274,766198,754198,714352,672556,673102,682808,699709,710495,740041,769592,10970121,785292,768746,786289,781398,786029,784118,783957,765136,748635,724523,701395,666436,652428,632317,603422,5564146,576028,560611,559979,540680,530198,529681,539464,547935,593125,586445,3464860,441365,461253,420044,387810,328305,306469,309591,292597,270464,246962,1372301,220591,196082,170829,152212,132774,499813,28833717,1501640,282933,295634,301599,306032,315442,1634468,321107,317726,321907,334272,339456,1977771,337922,335465,334871,332212,323711,313590,1254564,315209,311182,308256,319917,1701566,319929,330231,342462,350317,358627,3941734,359798,370055,379832,388230,399459,410249,407064,409408,413828,403811,5605749,400036,395941,388142,385261,384105,393488,385950,363845,341802,341634,346214,354480,359914,374715,390222,5575630,399771,390018,399572,397200,398328,399263,398741,389462,380825,368413,354854,337895,332120,321213,307955,2890457,294275,288358,288286,279734,274921,275551,282627,286708,311493,308504,1890071,233621,245200,224582,209044,179080,168748,171871,163822,152911,141192,860067,128329,115296,102191,92689,82402,339160,27656342,1575309,296055,310301,317434,320330,331189,1714232,337582,332834,336955,351858,355003,2079670,356597,352255,350387,350411,339496,330524,1320217,334252,330865,324799,330301,1712885,329370,338097,345066,347977,352375,3726134,352107,357353,363058,368108,377283,387679,381724,381229,385229,372364,5372692,376410,371338,365390,363598,365169,372710,368248,350507,330754,331468,336594,345229,350581,365326,379370,5394491,385521,378728,386717,384198,387701,384855,385216,375674,367810,356110,346541,328541,320308,311104,295467,2673689,281753,272253,271693,260946,255277,254130,256837,261227,281632,277941,1574789,207744,216053,195462,178766,149225,137721,137720,128775,117553,105770,512234,92262,80786,68638,59523,50372,160653
"2021","Wales","W92000004",3107494,155084,28336,29828,31158,32406,33356,175926,34446,34085,34380,36202,36813,217067,37048,36774,36785,36778,35317,34365,141405,35251,34284,34584,37286,187677,36918,37802,37853,37409,37695,382675,36043,36675,37238,37670,38834,40035,38647,39242,39341,38950,547661,37940,37855,36837,36862,36737,37767,37162,34610,32685,33128,33716,35269,36325,38994,41774,637955,42781,42252,43587,42985,44075,44656,45647,45163,44244,42962,42011,40572,39940,39334,37746,358979,35673,35679,36439,35417,34433,34832,35370,35811,38255,37070,220489,28188,29488,26707,25347,21765,20159,19078,17940,16589,15228,82576,13444,12036,10265,9237,7877,29717,1586489,75702,13758,14719,15078,15838,16309,85968,16896,16518,16706,17774,18074,105623,17922,18140,17645,18171,17074,16671,68401,16953,16718,16563,18167,91768,17737,18208,18403,18731,18689,195304,17839,18570,18901,19145,20030,20502,19737,20130,20483,19967,280595,19508,19461,18990,18977,18977,19507,18776,17681,16753,16767,17183,17898,18712,20065,21340,327012,21978,21733,22316,22218,22731,22880,23281,23306,22672,21918,21495,20721,20217,20178,19368,184978,18359,18350,18770,18236,17668,18030,17991,18455,19724,19395,119335,14807,15603,13989,13632,11809,11034,10397,9982,9330,8752,51803,7791,7009,6163,5668,4973,20199,1521005,79382,14578,15109,16080,16568,17047,89958,17550,17567,17674,18428,18739,111444,19126,18634,19140,18607,18243,17694,73004,18298,17566,18021,19119,95909,19181,19594,19450,18678,19006,187371,18204,18105,18337,18525,18804,19533,18910,19112,18858,18983,267066,18432,18394,17847,17885,17760,18260,18386,16929,15932,16361,16533,17371,17613,18929,20434,310943,20803,20519,21271,20767,21344,21776,22366,21857,21572,21044,20516,19851,19723,19156,18378,174001,17314,17329,17669,17181,16765,16802,17379,17356,18531,17675,101154,13381,13885,12718,11715,9956,9125,8681,7958,7259,6476,30773,5653,5027,4102,3569,2904,9518
