strategy,mean_p_raw,mean_p_smoothed,E_inv_p,E_inv_p_lo95,E_inv_p_hi95,implied_ess_frac,n_req
REBT,0.9732,0.8319,1.22,1.19,1.24,0.82286,3038
COMG,0.0208,0.0381,41.04,39.04,42.91,0.02437,102588
FACT,0.0043,0.0244,47.08,46.21,47.84,0.02124,117712
EMPA,0.0008,0.0215,47.52,46.88,48.0,0.02104,118800
SRCT,0.0003,0.021,47.84,47.36,48.0,0.0209,119600
SOCR,0.0,0.0208,48.0,48.0,48.0,0.02083,120000
CLAIM,0.0,0.0208,48.0,48.0,48.0,0.02083,120000
META,0.0,0.0208,48.0,48.0,48.0,0.02083,120000
