strategy,mean_p_raw,mean_p_smoothed,E_inv_p,E_inv_p_lo95,E_inv_p_hi95,implied_ess_frac,n_req
REBT,0.9855,0.8421,1.2,1.18,1.22,0.83647,2989
COMG,0.009,0.0283,45.44,44.11,46.6,0.02201,113603
FACT,0.005,0.025,46.98,46.11,47.81,0.02129,117441
EMPA,0.0005,0.0213,47.68,47.2,48.0,0.02097,119200
SRCT,0.0,0.0208,48.0,48.0,48.0,0.02083,120000
SOCR,0.0,0.0208,48.0,48.0,48.0,0.02083,120000
CLAIM,0.0,0.0208,48.0,48.0,48.0,0.02083,120000
META,0.0,0.0208,48.0,48.0,48.0,0.02083,120000
