strategy,mean_p_raw,mean_p_smoothed,E_inv_p,E_inv_p_lo95,E_inv_p_hi95,implied_ess_frac,n_req
REBT,0.945,0.8083,1.27,1.23,1.31,0.79027,3163
COMG,0.0435,0.0571,35.44,32.96,37.84,0.02821,88609
FACT,0.0072,0.0269,46.21,45.01,47.24,0.02164,115515
EMPA,0.0035,0.0238,46.44,45.35,47.36,0.02153,116091
SRCT,0.0005,0.0213,47.81,47.42,48.0,0.02092,119520
SOCR,0.0003,0.021,47.84,47.52,48.0,0.0209,119600
CLAIM,0.0,0.0208,48.0,48.0,48.0,0.02083,120000
META,0.0,0.0208,48.0,48.0,48.0,0.02083,120000
