prompt_rhetoric_id,n,mean_facts,sd_facts,zero_rate,study
debate,2831,5.677,5.813,0.16,1
deep_canvass,2826,1.607,3.184,0.599,1
information,2717,8.865,6.79,0.041,1
mega,2748,4.856,5.189,0.142,1
moral_reframing,2816,1.62,3.254,0.548,1
none,2789,2.381,3.784,0.428,1
norms,2828,4.087,4.262,0.139,1
storytelling,2707,2.493,3.567,0.33,1
debate,1669,6.621,6.548,0.145,2
deep_canvass,1799,2.481,4.099,0.469,2
information,2675,8.269,6.978,0.036,2
information_with_deception,1850,5.766,4.862,0.048,2
mega,1748,6.497,6.526,0.117,2
moral_reframing,1701,2.237,4.22,0.519,2
none,1798,3.411,5.323,0.39,2
norms,1726,6.056,5.802,0.063,2
storytelling,1708,3.538,4.899,0.327,2
debate,2224,12.773,10.395,0.046,3
deep_canvass,2182,2.361,4.228,0.542,3
information,2232,21.8,16.069,0.003,3
mega,2255,12.392,9.644,0.043,3
moral_reframing,2232,2.086,3.959,0.558,3
none,2235,4.327,7.602,0.422,3
norms,2278,11.945,8.504,0.034,3
storytelling,2257,6.903,7.278,0.208,3
