arm,OR,ci_lo,ci_hi,p,model
"Human-Human, personalized",0.9900088378528793,0.6875266931667692,1.4255701033400716,0.956952541217186,ordinal_unadjusted
Human-AI,1.3725700019141933,0.9560054909589897,1.9706460140358604,0.08612890572144614,ordinal_unadjusted
"Human-AI, personalized",1.6758340207647495,1.158588665250726,2.4240006392128715,0.006112966020110527,ordinal_unadjusted
