arm,n,clusters,OR,ci_lo,ci_hi,p,model
"Human-Human, personalized",150,150,0.9538461538461537,0.5663967380533084,1.6063342602115571,0.8589630126136705,binary_cluster_robust
Human-AI,150,150,1.451505016722408,0.8981430686428298,2.345803121048378,0.12816732034375,binary_cluster_robust
"Human-AI, personalized",150,150,2.176250933532486,1.381828792689589,3.4273914038820568,0.0007919069609956313,binary_cluster_robust
