dgp,beta,tau,n,ate,beta_ov,e_inv_p,e_inv_q,overlap_mass,pop_kish_frac,zero_arm_rate,kish1_realized,kish0_realized,ht_bias,ht_sd,ht_rmse,ht_estimable_rate,ht_cover_cond,ht_cover_uncond,hajek_bias,hajek_sd,hajek_rmse,hajek_estimable_rate,hajek_cover_cond,hajek_cover_uncond,trunc_bias,trunc_sd,trunc_rmse,trunc_estimable_rate,trunc_cover_cond,trunc_cover_uncond,aipw_oracle_bias,aipw_oracle_sd,aipw_oracle_rmse,aipw_oracle_estimable_rate,aipw_oracle_cover_cond,aipw_oracle_cover_uncond,or_oracle_bias,or_oracle_sd,or_oracle_rmse,or_oracle_estimable_rate,or_oracle_cover_cond,or_oracle_cover_uncond,overlap_bias,overlap_sd,overlap_rmse,overlap_estimable_rate,overlap_cover_cond,overlap_cover_uncond
uniform,const,1.0,125,1.0,1.0,2.1744392428744743,2.1762944063795935,0.23104190170523714,0.4594966549877618,0.0,0.4575497839627654,0.4643050654115038,0.005886281006525887,0.24045909999648168,0.24023046357254102,1.0,0.9375,0.9375,0.018722372828935248,0.23003173828274287,0.23050562110322279,1.0,0.9425,0.9425,0.018722372828935248,0.23003173828274287,0.23050562110322279,1.0,0.9425,0.9425,0.01443121509622355,0.19378215719852804,0.19407706100038513,1.0,0.9425,0.9425,0.0,0.0,0.0,1.0,1.0,1.0,0.019252906168246275,0.22615228364277504,0.2266884815209484,1.0,0.94,0.94
uniform,const,1.0,250,1.0,1.0,2.1744392428744743,2.1762944063795935,0.23104190170523714,0.4594966549877618,0.0,0.4628749267778822,0.45741926131810734,-0.0014988301173963115,0.16447308807069475,0.16427420582514635,1.0,0.945,0.945,-0.0015122788979774094,0.15828689757930495,0.15809614820698017,1.0,0.9375,0.9375,-0.0015122788979774094,0.15828689757930495,0.15809614820698017,1.0,0.9375,0.9375,-0.007438372432817141,0.13481993602435519,0.13485660345784514,1.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0,1.0,-0.0017718202354570828,0.15509949058867875,0.1549156276747516,1.0,0.9425,0.9425
uniform,const,1.0,500,1.0,1.0,2.1744392428744743,2.1762944063795935,0.23104190170523714,0.4594966549877618,0.0,0.45897098079730875,0.46086140236001755,-0.007583963405681571,0.10931963101489832,0.10944597421494841,1.0,0.96,0.96,-0.0032185618696637607,0.11196552208761748,0.11187178635170143,1.0,0.96,0.96,-0.0032185618696637607,0.11196552208761748,0.11187178635170143,1.0,0.96,0.96,-0.006136032879795059,0.09582809553903116,0.09590472998972999,1.0,0.945,0.945,0.0,0.0,0.0,1.0,1.0,1.0,-0.0034593926908197013,0.11013278332919421,0.11004941747558207,1.0,0.96,0.96
uniform,const,1.0,1000,1.0,1.0,2.1744392428744743,2.1762944063795935,0.23104190170523714,0.4594966549877618,0.0,0.4586336881652939,0.4610354346959869,0.000807256878646411,0.07558521746921892,0.07549499288553889,1.0,0.9625,0.9625,0.005233762053318039,0.07465987812918926,0.07474994597984992,1.0,0.9625,0.9625,0.005233762053318039,0.07465987812918926,0.07474994597984992,1.0,0.9625,0.9625,0.003679605819157593,0.0626391362302676,0.0626689056326119,1.0,0.9575,0.9575,0.0,0.0,0.0,1.0,1.0,1.0,0.004868568235994483,0.07294534499499615,0.07301659917249259,1.0,0.96,0.96
uniform,const,1.0,2000,1.0,1.0,2.1744392428744743,2.1762944063795935,0.23104190170523714,0.4594966549877618,0.0,0.4596018494571989,0.4599969701641494,0.0007769271840025313,0.05111398129614322,0.05105596049514556,1.0,0.9625,0.9625,0.001563167345109458,0.049093517314606955,0.04905702295148606,1.0,0.965,0.965,0.001563167345109458,0.049093517314606955,0.04905702295148606,1.0,0.965,0.965,0.0006336466473023885,0.041354355843766545,0.04130749082743193,1.0,0.975,0.975,0.0,0.0,0.0,1.0,1.0,1.0,0.0018591705490287433,0.04817133716703152,0.04814699414583488,1.0,0.9725,0.9725
uniform,const,1.0,4000,1.0,1.0,2.1744392428744743,2.1762944063795935,0.23104190170523714,0.4594966549877618,0.0,0.45935770674930454,0.46022557808187287,-0.000314154107533208,0.04123266415363793,0.041182289330815025,1.0,0.95,0.95,0.000927386011160442,0.03928889446413269,0.03925070992933654,1.0,0.9525,0.9525,0.000927386011160442,0.03928889446413269,0.03925070992933654,1.0,0.9525,0.9525,0.0018400147955702582,0.03328069942254262,0.03328996239283566,1.0,0.9575,0.9575,0.0,0.0,0.0,1.0,1.0,1.0,0.0005837630693170812,0.038533528640497555,0.038489758725346976,1.0,0.95,0.95
uniform,const,1.0,8000,1.0,1.0,2.1744392428744743,2.1762944063795935,0.23104190170523714,0.4594966549877618,0.0,0.45955786012446354,0.4599010975177899,-0.001058556518997911,0.029856108037137286,0.02983754783927985,1.0,0.93,0.93,-0.0005440820670103233,0.027950254551064195,0.02792059657208731,1.0,0.95,0.95,-0.0005440820670103233,0.027950254551064195,0.02792059657208731,1.0,0.95,0.95,-0.0002960639620435196,0.02361475064815284,0.023587071902286212,1.0,0.955,0.955,0.0,0.0,0.0,1.0,1.0,1.0,-0.0004885351305945244,0.02745446249132745,0.027424474625502154,1.0,0.9475,0.9475
uniform,const,1.0,16000,1.0,1.0,2.1744392428744743,2.1762944063795935,0.23104190170523714,0.4594966549877618,0.0,0.4596769100156473,0.4597242418075278,1.1323878466430737e-05,0.020052718015599456,0.020027639633612287,1.0,0.9475,0.9475,-0.00011753995594912552,0.01876650641986816,0.018743402157564138,1.0,0.9525,0.9525,-0.00011753995594912552,0.01876650641986816,0.018743402157564138,1.0,0.9525,0.9525,0.0003051500481726435,0.01703287459747984,0.017014306819930693,1.0,0.9525,0.9525,0.0,0.0,0.0,1.0,1.0,1.0,-9.758765416796239e-05,0.018523360409093314,0.018500449102475832,1.0,0.955,0.955
uniform,const,1.0,32000,1.0,1.0,2.1744392428744743,2.1762944063795935,0.23104190170523714,0.4594966549877618,0.0,0.4596461624132364,0.45983652407331266,0.00025147164317765867,0.014528093673771334,0.014512101157885872,1.0,0.9425,0.9425,0.0004649619255183243,0.013775790078628641,0.013766413872243522,1.0,0.935,0.935,0.0004649619255183243,0.013775790078628641,0.013766413872243522,1.0,0.935,0.935,0.00041467855548958237,0.011936518394326976,0.011928798284154357,1.0,0.9525,0.9525,0.0,0.0,0.0,1.0,1.0,1.0,0.00046323685207655033,0.01355116990623179,0.013542145645875874,1.0,0.94,0.94
uniform,const,0.6,125,1.0,1.0,2.5307108051550777,2.5319962923326482,0.20470313214180508,0.39494528606861884,0.0,0.39762884781011887,0.4019218463508754,-0.011964702301506102,0.2314888860198571,0.23150872702989247,1.0,0.9625,0.9625,0.011815672802462136,0.23346473659772163,0.23347190173622984,1.0,0.955,0.955,0.011815672802462136,0.23346473659772163,0.23347190173622984,1.0,0.955,0.955,-0.0008532061023972743,0.1998586929942932,0.1996105367537667,1.0,0.9575,0.9575,0.0,0.0,0.0,1.0,1.0,1.0,0.007384946274403543,0.22367811669324703,0.22352037394652655,1.0,0.945,0.945
uniform,const,0.6,250,1.0,1.0,2.5307108051550777,2.5319962923326482,0.20470313214180508,0.39494528606861884,0.0,0.396283378750599,0.39750978510539636,0.003956645394490722,0.17968508512975404,0.17950394991843346,1.0,0.9425,0.9425,0.01462377387654612,0.1798351769458241,0.18020458901581937,1.0,0.94,0.94,0.01462377387654612,0.1798351769458241,0.18020458901581937,1.0,0.94,0.94,0.00890250405223115,0.15216150845247572,0.15223171949793018,1.0,0.94,0.94,0.0,0.0,0.0,1.0,1.0,1.0,0.013188538702328114,0.16943571253030107,0.16973693493772063,1.0,0.9425,0.9425
uniform,const,0.6,500,1.0,1.0,2.5307108051550777,2.5319962923326482,0.20470313214180508,0.39494528606861884,0.0,0.3954559565696067,0.39706881861478655,-0.00042991278796966875,0.1278456715659654,0.1276864882194376,1.0,0.9275,0.9275,0.0033684324711477863,0.12359197262795885,0.12348333732183316,1.0,0.9325,0.9325,0.0033684324711477863,0.12359197262795885,0.12348333732183316,1.0,0.9325,0.9325,-0.000866797241284294,0.10472579513776423,0.10459839757030873,1.0,0.935,0.935,0.0,0.0,0.0,1.0,1.0,1.0,0.003005986186319195,0.11644394535932097,0.11633714102886386,1.0,0.9375,0.9375
uniform,const,0.6,1000,1.0,1.0,2.5307108051550777,2.5319962923326482,0.20470313214180508,0.39494528606861884,0.0,0.3951232733968845,0.39645761897878173,0.005035354992122956,0.08232902081721931,0.08238007829230938,1.0,0.955,0.955,0.007969928420398991,0.0823702382028962,0.08265236693691318,1.0,0.95,0.95,0.007969928420398991,0.0823702382028962,0.08265236693691318,1.0,0.95,0.95,0.004768751300221745,0.07151763496709368,0.0715871927789574,1.0,0.9325,0.9325,0.0,0.0,0.0,1.0,1.0,1.0,0.006520744679171192,0.07665381108374641,0.07683513094899667,1.0,0.95,0.95
uniform,const,0.6,2000,1.0,1.0,2.5307108051550777,2.5319962923326482,0.20470313214180508,0.39494528606861884,0.0,0.3948985833277126,0.39533264268613905,0.0008026107650920516,0.06115652500809383,0.061085304564421905,1.0,0.9375,0.9375,0.00223694303898551,0.058722486254291426,0.05869168152358047,1.0,0.955,0.955,0.00223694303898551,0.058722486254291426,0.05869168152358047,1.0,0.955,0.955,0.001873791150117438,0.049452446468205076,0.049426123596846235,1.0,0.9525,0.9525,0.0,0.0,0.0,1.0,1.0,1.0,0.0016381553402208251,0.05584236418195025,0.05579657038075621,1.0,0.955,0.955
uniform,const,0.6,4000,1.0,1.0,2.5307108051550777,2.5319962923326482,0.20470313214180508,0.39494528606861884,0.0,0.39486926127982164,0.3947853237349157,-0.0008168659399097694,0.04297777252017217,0.04293178867031353,1.0,0.9625,0.9625,-0.0013669590482512568,0.04220515532279143,0.04217452459745093,1.0,0.9475,0.9475,-0.0013669590482512568,0.04220515532279143,0.04217452459745093,1.0,0.9475,0.9475,0.0005996855686944963,0.036662714664313596,0.036621767880889965,1.0,0.94,0.94,0.0,0.0,0.0,1.0,1.0,1.0,-0.0010778462735467767,0.040103621443689834,0.040067960446670235,1.0,0.9475,0.9475
uniform,const,0.6,8000,1.0,1.0,2.5307108051550777,2.5319962923326482,0.20470313214180508,0.39494528606861884,0.0,0.3952243675898525,0.39468831056224546,-0.002715716780914505,0.028876877267821184,0.028968335700780196,1.0,0.9525,0.9525,-0.003372823524049446,0.029535248991848125,0.02969050427665924,1.0,0.96,0.96,-0.003372823524049446,0.029535248991848125,0.02969050427665924,1.0,0.96,0.96,-0.0028449138310855347,0.024569622433197987,0.024703253132936413,1.0,0.9625,0.9625,0.0,0.0,0.0,1.0,1.0,1.0,-0.0031074972315680753,0.028218413014576976,0.028353918159979185,1.0,0.9475,0.9475
uniform,const,0.6,16000,1.0,1.0,2.5307108051550777,2.5319962923326482,0.20470313214180508,0.39494528606861884,0.0,0.39496814294742566,0.39500119919321774,0.00016019503963814408,0.020355803013098164,0.020330973463363988,1.0,0.9575,0.9575,0.0003867096591500621,0.020723311973835482,0.02070100394612495,1.0,0.945,0.945,0.0003867096591500621,0.020723311973835482,0.02070100394612495,1.0,0.945,0.945,-2.1209326112351658e-05,0.016703139852584793,0.016682261344559465,1.0,0.945,0.945,0.0,0.0,0.0,1.0,1.0,1.0,0.0005675356427189529,0.019327163153626585,0.01931133046125358,1.0,0.9575,0.9575
uniform,const,0.6,32000,1.0,1.0,2.5307108051550777,2.5319962923326482,0.20470313214180508,0.39494528606861884,0.0,0.39498832061203837,0.39509658927841795,-0.0005937896430433933,0.014225292519224036,0.014219902813645852,1.0,0.9675,0.9675,-0.00031780511927219954,0.013830243714874908,0.013816600602305924,1.0,0.955,0.955,-0.00031780511927219954,0.013830243714874908,0.013816600602305924,1.0,0.955,0.955,-0.0006039082477976466,0.011848638243360781,0.011849217603843495,1.0,0.96,0.96,0.0,0.0,0.0,1.0,1.0,1.0,-0.000368375906917994,0.012940183868190484,0.012929247404818985,1.0,0.96,0.96
uniform,const,0.4,125,1.0,1.0,3.4207946331881485,3.4193163771644657,0.16966217848289497,0.2923297383298364,0.0,0.30890955651312607,0.3032404884651831,-0.004882039798641677,0.28467197766617675,0.2843578271189257,1.0,0.945,0.945,0.020838085717674808,0.2749370088819413,0.2753826588080547,1.0,0.925,0.925,0.020838085717674808,0.2749370088819413,0.2753826588080547,1.0,0.925,0.925,0.0023124128231054404,0.23627669639614296,0.23599249526158644,1.0,0.9525,0.9525,0.0,0.0,0.0,1.0,1.0,1.0,0.011890097350582966,0.23691639706097703,0.23691861506300002,1.0,0.9475,0.9475
uniform,const,0.4,250,1.0,1.0,3.4207946331881485,3.4193163771644657,0.16966217848289497,0.2923297383298364,0.0,0.3009045861079263,0.2994727006734785,0.00046646036543739224,0.20103704501470285,0.20078613328575648,1.0,0.9325,0.9325,0.021647175484019735,0.2072393586393684,0.2081090617831659,1.0,0.92,0.92,0.021647175484019735,0.2072393586393684,0.2081090617831659,1.0,0.92,0.92,0.004088066685211737,0.17236966754373167,0.17220260254315695,1.0,0.9475,0.9475,0.0,0.0,0.0,1.0,1.0,1.0,0.012458547673718106,0.18046481454394137,0.18066916124589857,1.0,0.9225,0.9225
uniform,const,0.4,500,1.0,1.0,3.4207946331881485,3.4193163771644657,0.16966217848289497,0.2923297383298364,0.0,0.2941167018939477,0.2965098765079572,-0.00012713457799699761,0.13861351031685637,0.1384401933777047,1.0,0.9475,0.9475,-0.0030841998501158776,0.1418286619684263,0.1416848376541407,1.0,0.9325,0.9325,-0.0030841998501158776,0.1418286619684263,0.1416848376541407,1.0,0.9325,0.9325,-0.0018140503905193165,0.12227134234061708,0.12213188049686814,1.0,0.955,0.955,0.0,0.0,0.0,1.0,1.0,1.0,-0.0002934713525679394,0.12481640833462647,0.12466063562936416,1.0,0.925,0.925
uniform,const,0.4,1000,1.0,1.0,3.4207946331881485,3.4193163771644657,0.16966217848289497,0.2923297383298364,0.0,0.2930239579966642,0.2937622469709339,-0.0005486737871482539,0.104424125990082,0.10429495738766682,1.0,0.9475,0.9475,0.003308980322308925,0.1077079718230899,0.10762413310699115,1.0,0.9425,0.9425,0.003308980322308925,0.1077079718230899,0.10762413310699115,1.0,0.9425,0.9425,-0.0027740615858896176,0.08842574085772499,0.08835869671291134,1.0,0.9375,0.9375,0.0,0.0,0.0,1.0,1.0,1.0,0.001413974027751468,0.08916084654152476,0.08906055095923492,1.0,0.94,0.94
