tau,truth,min_cell_occupancy,kish_ess1_frac,kish_ess0_frac,overlap_weight_mass,overlap_coefficient,zero_treated_rate,zero_control_rate,zero_stratum_arm_rate,median_max_weight,p95_max_weight,theory_se_raw,naive_bias,naive_rmse,naive_sd,naive_estimable_rate,naive_cover_cond,naive_cover_uncond,ipw_bias,ipw_rmse,ipw_sd,ipw_estimable_rate,ipw_cover_cond,ipw_cover_uncond,theory_se
4.0,0.08597082501507014,0.1598700000000001,0.5004752498461368,0.4748157113308977,0.2437115618467822,0.8505341840951557,0.0,0.0,0.0,2.5428791731200517,2.5428791731200517,0.04530248206768381,-0.10622181422811022,0.12189921975739383,0.05990247893723869,1.0,0.5933333333333334,0.5933333333333334,-0.00359622258507733,0.06153915260157364,0.0615366314434177,1.0,0.9533333333333334,0.9533333333333334,0.0615366314434177
2.0,0.0757445685007696,0.12377999999999996,0.48515484682386156,0.4201092594643177,0.2261675757321972,0.7073943900002558,0.0,0.0,0.0,3.3804761428476158,3.3804761428476158,0.04713451178685164,-0.19337731021885252,0.20149509318555056,0.0567116316781727,1.0,0.08,0.08,0.008778201240672606,0.060270028137397846,0.05972696635267266,1.0,0.9633333333333334,0.9633333333333334,0.064025169211688
1.0,0.0745661641492863,0.06603666666666666,0.4186370414860599,0.2687692611041265,0.17374592499999997,0.468167,0.0,0.0,0.0,6.666666666666666,6.666666666666666,0.055338726492935704,-0.37342684081773614,0.37837043785183705,0.06106564369492599,1.0,0.0,0.0,-0.004078194316313594,0.07224797949969279,0.07225330909485697,1.0,0.97,0.97,0.07516936514992999
0.6,0.07569324759906032,0.02381666666666667,0.3064469413834934,0.10791935432607992,0.10860622200019297,0.26161365588770236,0.0,0.0,0.0,19.0113435923748,19.0113435923748,0.07931654778956716,-0.5125573804480439,0.5152279299642546,0.052477912826306594,1.0,0.0,0.0,0.002263571159352551,0.10688247959169786,0.1070370517973464,1.0,0.9366666666666666,0.9366666666666666,0.10773964131586856
0.4,0.0746403357212172,0.0058716666666666665,0.1821900089989724,0.028300915026497973,0.05761005569863262,0.12781803404155687,0.0,0.0,0.0,77.43973392032842,77.43973392032842,0.14442944559528115,-0.6034026652264647,0.6062113797077273,0.058385128490407084,1.0,0.0,0.0,-0.002310461802663852,0.1877702129011987,0.18806970871729967,1.0,0.93,0.93,0.19618575313148107
0.3,0.08623638446375215,0.0013933333333333334,0.09933573320184327,0.03743907176492832,0.029978731104119128,0.06335734791554032,0.0,0.0,0.06,325.408498002571,325.408498002571,0.2834986715857758,-0.6511960019374813,0.6532764047539433,0.05218145663867724,1.0,0.0,0.0,-0.022038830186553185,0.3583858229744434,0.3583052192944671,1.0,0.7766666666666666,0.7766666666666666,0.3850904513798606
0.22,0.07279478281970053,0.00016833333333333335,0.03820794158210187,0.3722583961444107,0.011173064500974229,0.022813777735888698,0.0,0.0,0.7033333333333334,48.056730740146484,2656.9302574576304,0.7892394522829095,-0.6686341610069997,0.6709747083022267,0.056088361210399194,1.0,0.0,0.0,-0.17768763522823633,0.5872722817315736,0.5606814748422765,1.0,0.48333333333333334,0.48333333333333334,1.0720634958406232
0.15,0.08273405879206486,3.3333333333333333e-06,0.02200441312712589,0.5340834025661049,0.0018913421862785322,0.0037959772306899175,0.0,0.0,0.9933333333333333,284.9086134018411,284.9086134018411,4.942909920181271,-0.6900318272122238,0.6925783843614891,0.05943628092811224,1.0,0.0,0.0,-0.31274981726452233,0.49699046532554303,0.3868927859907444,1.0,0.6633333333333333,0.6633333333333333,6.714202227634355
